co,no,no2,o3,so2,pm2_5,pm10,nh3
0.21969011111156633,0.04695877241634313,0.18206058486689686,0.08457641181351175,0.31966318415718076,0.34250289115968685,0.34488037003760275,0.35465681508846975
0.20510509649377945,0.04695877241634313,0.16558115137474316,0.12625558281991986,0.3717448931857166,0.33112783665421736,0.33336661009616986,0.38926696480653317
0.18140393567354476,0.03350896653725272,0.14608558814529876,0.18685896870090207,0.4125994074536099,0.3086241871575635,0.30666200791986953,0.36457320629982504
0.10665454093594803,0.01650027731558514,0.08467019277003102,0.2474623545818843,0.32714798066427575,0.1866077691622273,0.1819573391900436,0.2216605094302936
0.08295338011571335,0.01183213163246441,0.06744765484984919,0.27272406305717867,0.2825510681428349,0.15346844370295945,0.1478320189012013,0.19463348240326658
0.08295338011571335,0.009890922536513217,0.0719499934431962,0.2929193072890003,0.3085139560268206,0.16124139761503026,0.15463711690126786,0.2119385572622983
0.20145918421688674,0.029118136439267885,0.23897364164881757,0.2171518350486345,0.38289412131607675,0.24399491914232094,0.2514392199926791,0.3941279408905308
0.3910671052685481,0.068127195415049,0.4906674826244699,0.08710081734248945,0.43497583034461257,0.36472216429370397,0.3922498419353765,0.5910946918141162
0.547857719297527,0.19416712885930856,0.6284914980111028,0.005578406623475206,0.449789490098238,0.4536750905264755,0.49509167748161453,0.7439237798950028
0.6937105964958278,0.3512201885745979,0.6404685929099095,0.0038307412572598726,0.47957274286605345,0.5576051718581153,0.6110778343482746,0.9506124829865837
0.6572473771962526,0.15284710667406173,0.6044935961883113,0.00033541052482920545,0.42382660221425233,0.6256848730733503,0.6816744867059332,1.0
0.48222447076237807,0.010029580329081161,0.5026445775232766,0.014811022649037019,0.3531888351785436,0.5161430981856789,0.5530098831985625,0.8226715924557652
0.4457612514628029,0.003281567757441301,0.4307382961052585,0.023019753914593887,0.312256354280368,0.4986823895197832,0.5330271871152374,0.7734785144857087
0.3910671052685481,0.0025882787946015897,0.37679765703545043,0.02492629795046516,0.2342117573678466,0.4490492350275846,0.47397757146184816,0.6206494264048221
0.2999097397747182,0.0007395082270290257,0.2958866984307383,0.03565943474499974,0.1449399656946827,0.3600394335222857,0.3710691823899371,0.3989889169745285
0.23792240351646193,0.00013865779256794233,0.2269965467500109,0.04607481420022243,0.10774988305005459,0.30378978899273895,0.30624604838441316,0.28329768617538403
0.20145918421688674,9.24385283786282e-05,0.18804913231630016,0.05048811057955408,0.0910650241696554,0.2748402752763191,0.2732188612691757,0.20688314213494072
0.17775802339665206,4.621926418931411e-05,0.1565764741880491,0.054901406958885735,0.08358022766256044,0.2533414222609817,0.2487105254400852,0.15282908808088663
0.15952573099175643,4.621926418931411e-05,0.13861083183983913,0.056172436316133244,0.08178699516606894,0.23982406582364882,0.23323683072110746,0.11335796227882558
0.14494071637396957,9.24385283786282e-05,0.13262228439043577,0.058696841845110946,0.08545142678933418,0.23254403094014833,0.22568300555721943,0.09371961889947501
0.15952573099175643,0.0006470696986503974,0.16558115137474316,0.04985259590093032,0.1188991111804148,0.25209016626538006,0.24789524475059066,0.11821893836282325
